3.800 9.61390E-01 0.00017
3.810 9.61980E-01 0.00017
3.820 9.62567E-01 0.00016
3.830 9.62884E-01 0.00019
3.840 9.62904E-01 0.00019
3.850 9.63367E-01 0.00016
3.860 9.63582E-01 0.00018
3.870 9.63898E-01 0.00019
3.880 9.64104E-01 0.00019
3.890 9.64383E-01 0.00020
3.900 9.64252E-01 0.00017
3.910 9.64437E-01 0.00017
3.920 9.64582E-01 0.00019
3.930 9.64852E-01 0.00018
3.940 9.65103E-01 0.00020
3.950 9.64773E-01 0.00019
3.960 9.65006E-01 0.00018
3.970 9.65045E-01 0.00017
3.980 9.65110E-01 0.00018
3.990 9.64813E-01 0.00019
4.000 9.64815E-01 0.00018
4.010 9.65037E-01 0.00019
4.020 9.64766E-01 0.00018
4.030 9.64877E-01 0.00018
4.040 9.64521E-01 0.00017
4.050 9.64703E-01 0.00018
4.060 9.64615E-01 0.00018
4.070 9.64094E-01 0.00019
4.080 9.63612E-01 0.00020
4.090 9.64011E-01 0.00018
4.100 9.63261E-01 0.00019
4.110 9.62820E-01 0.00019
4.120 9.62817E-01 0.00018
4.130 9.62554E-01 0.00017
4.140 9.62096E-01 0.00018
4.150 9.62022E-01 0.00018
4.160 9.61754E-01 0.00019
4.170 9.61037E-01 0.00018
4.180 9.60730E-01 0.00018
4.190 9.60297E-01 0.00020
4.200 9.59918E-01 0.00018
